retailer,categoria,marca,modelo,precio_regular,precio_oferta,vendedor,vendedor_tercero,url
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G17 6.8"" 4GB 128GB 50MP+5MP Arándano",699.0,449.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g17-6-8--4gb-128gb-50mp5mp-arandano-20571413/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA Edge 60 Fusion 6.8"" 8GB 256GB 50MP Slipstream",1099.0,999.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-edge-60-fusion-6-8--8gb-256gb-50mp-slipstream/p
PlazaVea,Smartphones,HONOR,Smartphone HONOR X7D 8 Gb Ram 256 Gb Color Meteor Silver,949.0,749.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-honor-x7d-8-gb-ram-256-gb-color-meteor-silver-20570184/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G06 6.9"" 4GB 64GB 50MP Azul",479.0,349.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g06-6-9--4gb-64gb-50mp-azul-20567177/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G06 6.9"" 4GB 128GB 50MP Azul",499.0,419.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g06-6-9--4gb-128gb-50mp-azul-20567176/p
PlazaVea,Smartphones,SAMSUNG,Smartphones SAMSUNG Galaxy A17 4GB 128GB Negro,749.0,699.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphones-samsung-galaxy-a17-4gb-128gb-negro-20633090/p
PlazaVea,Smartphones,SAMSUNG,Smartphones SAMSUNG Galaxy A27 6GB 128GB Negro,1349.0,1099.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphones-samsung-galaxy-a27-6gb-128gb-negro-20633092/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G77 6.8"" 8GB 256GB 108MP+8MP Negro",999.0,849.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g77-68-8gb-256gb-108mp-8mp-negro-20571418/p
PlazaVea,Smartphones,XIAOMI,"Smartphone XIAOMI Redmi Note 15 6.7"" 8GB 256GB 108MP+8MP Morado",949.0,899.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-xiaomi-redmi-note-15-6-7--8gb-256gb-108mp8mp-morado-20570056/p
PlazaVea,Smartphones,XIAOMI,"Smartphone XIAOMI Redmi 15C 6.9"" 4GB 128GB 50MP Negro",569.0,429.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-xiaomi-redmi-15c-6-9--4gb-128gb-50mp-negro/p
PlazaVea,Smartphones,SAMSUNG,"Smartphone SAMSUNG Galaxy S25 Ultra 6.9"" 12GB 256GB 200MP + 50MP + 50MP + 10MP Titanium Black",5199.0,3699.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-samsung-galaxy-s25-ultra-6-9--12gb-256gb-200mp50mp50mp10mp-titanium-black/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G47 6.78"" 4GB 128GB 50MP OIS + 8MP Wide + Flicker Gris",999.0,649.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g47-678-4gb-128gb-50mp-ois---8mp-wide---flicker-gris-20634573/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA Edge 70 Fusion 6.8"" 8GB 256GB 50MP+13MP Azul",1599.0,1419.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-edge-70-fusion-6-8--8gb-256gb-50mp13mp-azul-20571425/p
PlazaVea,Smartphones,HONOR,"Smartphone HONOR X5C Plus 6.75"" 4GB 256GB 50M+Auxiliary Camera Midnight Black",569.0,459.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-honor-x5c-plus-6-75--4gb-256gb-50mauxiliary-camera-midnight-black-20571416/p
PlazaVea,Smartphones,HONOR,"Smartphone HONOR X5C Plus 6.75"" 4GB 256GB 50M+Auxiliary Camera Meteor Silver",569.0,459.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-honor-x5c-plus-6-75--4gb-256gb-50mauxiliary-camera-meteor-silver-20571420/p
PlazaVea,Smartphones,SAMSUNG,"Smartphone SAMSUNG Galaxy S26 Ultra 6.9"" 12GB 512GB 200MP Black",6899.0,4699.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-samsung-galaxy-s26-ultra-6-9--12gb-512gb-200mp-black-20571559/p
PlazaVea,Smartphones,XIAOMI,Celular Redmi Note 15 Pro Titanium Color 8G RAM 256G ROM,1299.0,1249.0,oechsle,True,https://www.plazavea.com.pe/celular-redmi-note-15-pro-titanium-color-8g-ram-256g-rom-101908972/p
PlazaVea,Smartphones,MOTOROLA,Celular Motorola Moto G06 4 + 256Gb Azul,599.0,499.0,oechsle,True,https://www.plazavea.com.pe/celular-motorola-moto-g06-4---256gb-azul-101887740/p
PlazaVea,Smartphones,XIAOMI,"Smartphone XIAOMI Redmi Note 15 PRO 6.7"" 8GB 256GB 200MP+8MP Negro",1299.0,1199.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-xiaomi-redmi-note-15-pro-6-7--8gb-256gb-200mp8mp-negro-20570062/p
PlazaVea,Smartphones,APPLE,Iphone 17 Pro Max Silver 256GB,7400.0,5449.0,Plaza Vea,True,https://www.plazavea.com.pe/iphone-17-pro-max-silver-256gb-20568461/p
PlazaVea,Smartphones,APPLE,Iphone 17 Sage 256GB,5000.0,3549.0,Plaza Vea,True,https://www.plazavea.com.pe/iphone-17-sage-256gb-20568480/p
PlazaVea,Smartphones,APPLE,Iphone 17 Mist Blue 256GB,5000.0,3549.0,Plaza Vea,True,https://www.plazavea.com.pe/iphone-17-mist-blue-256gb-20568455/p
PlazaVea,Smartphones,SAMSUNG,"Smartphone SAMSUNG Galaxy A17 6.7"" 8GB 256GB 50.0 MP + 5.0 MP + 2.0 MP Negro",1049.0,899.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-samsung-galaxy-a17-6-7--8gb-256gb-50-0-mp5-0-mp2-0-mp-negro/p
PlazaVea,Smartphones,XIAOMI,"Smartphone XIAOMI Redmi 15 6.9"" 8GB 256GB 50MP Gris",879.0,749.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-xiaomi-redmi-15-6-9--8gb-256gb-50mp-gris/p
PlazaVea,Smartphones,XIAOMI,"Smartphone XIAOMI Redmi 15C 6.9"" 4GB 128GB 50MP Verde",569.0,429.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-xiaomi-redmi-15c-6-9--4gb-128gb-50mp-verde/p
PlazaVea,Smartphones,APPLE,"iPhone 15 6.1"" 6GB 128GB Negro",4799.0,2649.0,Plaza Vea,True,https://www.plazavea.com.pe/iphone-15-6-1--6gb-128gb-negro/p
PlazaVea,Smartphones,SAMSUNG,Samsung Galaxy A57 5g 256Gb 8Gb Awesome Navy,2099.0,1569.0,Telcelperu,True,https://www.plazavea.com.pe/samsung-galaxy-a57-5g-256gb-8gb-awesome-navy-102077566/p
PlazaVea,Smartphones,SAMSUNG,"Smartphone SAMSUNG Galaxy A37 6.7"" 8GB 256GB 50 MP Gray",1799.0,1599.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-samsung-galaxy-a37-67-8gb-256gb-50-mp-gray-20621949/p
PlazaVea,Smartphones,SAMSUNG,"Smartphone SAMSUNG Galaxy A37 6.7"" 8GB 256GB 50 MP Light Violet",1799.0,1599.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-samsung-galaxy-a37-67-8gb-256gb-50-mp-light-violet-20621950/p
PlazaVea,Smartphones,HONOR,"Smartphone HONOR X5C C Plus 6.75"" 4GB 256GB 50M+Auxiliary Camera Ocean Cyan",569.0,459.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-honor-x5c-c-plus-6-75--4gb-256gb-50mauxiliary-camera-ocean-cyan-20571419/p
PlazaVea,Smartphones,HONOR,"Smartphone HONOR Magic 8 Lite 6.78"" 8GB 512GB 108MP+5MP Dorado",1899.0,1599.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-honor-magic-8-lite-6-78--8gb-512gb-108mp5mp-dorado-20570180/p
PlazaVea,Smartphones,HONOR,"Smartphone HONOR Magic 8 Lite 6.78"" 8GB 512GB 108MP+5MP Negro",1899.0,1599.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-honor-magic-8-lite-6-78--8gb-512gb-108mp5mp-negro-20570185/p
PlazaVea,Smartphones,HONOR,"Smartphone HONOR Magic 8 LITE 6.78"" 8GB 512GB 108MP+5MP Verde",1899.0,1599.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-honor-magic-8-lite-6-78--8gb-512gb-108mp5mp-verde-20570183/p
PlazaVea,Smartphones,APPLE,IPHONE 17 PRO 5G 256GB ESIM - SILVER,5900.0,4589.0,Marketcell,True,https://www.plazavea.com.pe/iphone-17-pro-5g-256gb-esim-silver-101883167/p
PlazaVea,Smartphones,XIAOMI,"Smartphone XIAOMI Redmi Note 15 PRO Plus 6.8"" 12GB 512GB 200MP+8MP Negro",1899.0,1799.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-xiaomi-redmi-note-15-pro-plus-6-8--12gb-512gb-200mp8mp-negro-20570059/p
PlazaVea,Smartphones,XIAOMI,"Smartphone XIAOMI Redmi Note 15 6.7"" 8GB 256GB 108MP+8MP Negro",949.0,899.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-xiaomi-redmi-note-15-6-7--8gb-256gb-108mp8mp-negro-20570055/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G06 6.9"" 4GB 256GB 50MP Azul",499.0,479.0,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g06-6-9--4gb-256gb-50mp-azul-20567173/p
