retailer,categoria,marca,modelo,precio_regular,precio_oferta,precio_tarjeta,vendedor,vendedor_tercero,url
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G17 6.8"" 4GB 128GB 50MP+5MP Arándano",699.0,449.0,,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g17-6-8--4gb-128gb-50mp5mp-arandano-20571413/p
PlazaVea,Smartphones,HONOR,Smartphone HONOR X7D 8 Gb Ram 256 Gb Color Meteor Silver,949.0,749.0,,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-honor-x7d-8-gb-ram-256-gb-color-meteor-silver-20570184/p
PlazaVea,Smartphones,APPLE,Iphone 17 Mist Blue 256GB,5000.0,3499.0,,Plaza Vea,True,https://www.plazavea.com.pe/iphone-17-mist-blue-256gb-20568455/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA Edge 60 Fusion 6.8"" 8GB 256GB 50MP Slipstream",1099.0,949.0,,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-edge-60-fusion-6-8--8gb-256gb-50mp-slipstream/p
PlazaVea,Smartphones,SAMSUNG,Smartphones SAMSUNG Galaxy A17 4GB 128GB Negro,899.0,719.0,,Plaza Vea,True,https://www.plazavea.com.pe/smartphones-samsung-galaxy-a17-4gb-128gb-negro-20633090/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G77 6.8"" 8GB 256GB 108MP+8MP Negro",999.0,899.0,,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g77-68-8gb-256gb-108mp-8mp-negro-20571418/p
PlazaVea,Smartphones,HONOR,"Smartphone HONOR X5C Plus 6.75"" 4GB 256GB 50M+Auxiliary Camera Meteor Silver",569.0,459.0,,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-honor-x5c-plus-6-75--4gb-256gb-50mauxiliary-camera-meteor-silver-20571420/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G06 6.9"" 4GB 64GB 50MP Azul",479.0,349.0,,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g06-6-9--4gb-64gb-50mp-azul-20567177/p
PlazaVea,Smartphones,MOTOROLA,"Smartphone MOTOROLA G06 6.9"" 4GB 128GB 50MP Azul",499.0,389.0,,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-motorola-g06-6-9--4gb-128gb-50mp-azul-20567176/p
PlazaVea,Smartphones,XIAOMI,"Smartphone XIAOMI Redmi 15 6.9"" 8GB 256GB 50MP Negro",879.0,749.0,,Plaza Vea,True,https://www.plazavea.com.pe/smartphone-xiaomi-redmi-15-6-9--8gb-256gb-50mp-negro/p
